OCC_CODE,OCC_TITLE,TOT_EMP,A_PCT25,A_MEDIAN,A_PCT75,AIOE
43-4121,"Library Assistants, Clerical",78470,23910.0,29450.0,37200.0,0.2038919
43-4131,Loan Interviewers and Clerks,238610,37000.0,45940.0,49140.0,1.364395
43-4141,New Accounts Clerks,40500,36340.0,37840.0,46960.0,1.174998
43-4151,Order Clerks,133850,30040.0,37920.0,47700.0,0.8388861
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",102770,37180.0,45630.0,49050.0,1.353098
43-4171,Receptionists and Information Clerks,983150,28420.0,29950.0,36980.0,1.013186
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,100860,30690.0,39900.0,59770.0,0.227312
43-5011,Cargo and Freight Agents,85750,37020.0,46910.0,59380.0,1.405415
43-5021,Couriers and Messengers,68310,28960.0,33050.0,37440.0,-0.9591126
43-5031,Public Safety Telecommunicators,97050,36890.0,46670.0,59360.0,0.9074452
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",194330,35590.0,44050.0,55340.0,1.234523
43-5041,"Meter Readers, Utilities",24000,32790.0,45720.0,60020.0,-0.9723772
43-5051,Postal Service Clerks,79320,46070.0,52290.0,64210.0,-0.5186997
43-5052,Postal Service Mail Carriers,335540,39640.0,52440.0,67230.0,-1.064715
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",112130,38880.0,48550.0,63940.0,-1.185001
43-5061,"Production, Planning, and Expediting Clerks",367200,38060.0,48040.0,60840.0,0.6999103
43-5071,"Shipping, Receiving, and Inventory Clerks",795360,29840.0,36890.0,45710.0,-0.7463213
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",54760,30210.0,37610.0,46810.0,-0.1860789
43-6011,Executive Secretaries and Executive Administrative Assistants,466910,48720.0,62060.0,78110.0,1.079643
43-6012,Legal Secretaries and Administrative Assistants,155250,37560.0,47710.0,61590.0,1.014541
43-6013,Medical Secretaries and Administrative Assistants,656640,30710.0,37450.0,46570.0,1.217982
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1825980,30210.0,37880.0,47570.0,1.099056
43-9021,Data Entry Keyers,147170,29310.0,35630.0,39230.0,0.3108081
43-9022,Word Processors and Typists,41930,37110.0,44030.0,47950.0,0.6219606
43-9031,Desktop Publishers,7600,30880.0,46910.0,63760.0,0.3437743
43-9041,Insurance Claims and Policy Processing Clerks,218300,37200.0,45520.0,48860.0,1.240201
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",69400,28990.0,32550.0,37500.0,-0.8184676
43-9061,"Office Clerks, General",2578180,29410.0,37030.0,46900.0,0.9888986
43-9071,"Office Machine Operators, Except Computer",32920,29820.0,36630.0,41420.0,-0.5171404
43-9081,Proofreaders and Copy Markers,5340,34270.0,43940.0,57260.0,1.288375
43-9111,Statistical Assistants,6190,38320.0,48160.0,62170.0,1.389965
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",25770,38350.0,48640.0,63020.0,-0.4791843
45-2011,Agricultural Inspectors,13630,35610.0,45140.0,56850.0,0.1704867
45-2021,Animal Breeders,950,29630.0,40090.0,58860.0,-1.044292
45-2041,"Graders and Sorters, Agricultural Products",25560,28430.0,29630.0,31600.0,-1.370968
45-2091,Agricultural Equipment Operators,26180,29540.0,36360.0,40330.0,-1.145156
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",277200,29120.0,29630.0,31320.0,-1.601349
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",34140,25880.0,29630.0,36960.0,-1.108432
45-4011,Forest and Conservation Workers,6300,29510.0,30550.0,36830.0,-1.064205
45-4021,Fallers,4170,36560.0,47700.0,62200.0,-1.795407
45-4022,Logging Equipment Operators,25510,35890.0,46400.0,48770.0,-1.003702
45-4023,Log Graders and Scalers,3260,32230.0,37820.0,47760.0,-0.4768305
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,665870,58000.0,72010.0,92150.0,-0.3054048
47-2011,Boilermakers,12920,56430.0,64290.0,79320.0,-1.097532
47-2021,Brickmasons and Blockmasons,55950,47110.0,59340.0,76070.0,-1.75434
47-2022,Stonemasons,9000,37790.0,47610.0,59380.0,-1.714759
47-2031,Carpenters,668060,38240.0,48260.0,61980.0,-1.323631
47-2041,Carpet Installers,19790,36310.0,46640.0,59770.0,-1.564577
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",18300,37330.0,48060.0,66510.0,-1.301024
47-2043,Floor Sanders and Finishers,4340,30250.0,39140.0,48040.0,-1.748722
47-2044,Tile and Stone Setters,41160,37620.0,47810.0,61020.0,-1.22543
47-2051,Cement Masons and Concrete Finishers,186600,37840.0,47340.0,59690.0,-1.777407
47-2053,Terrazzo Workers and Finishers,2640,38960.0,48680.0,69790.0,-1.776065
47-2061,Construction Laborers,968760,30780.0,37770.0,48040.0,-1.622988
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",44200,37630.0,46960.0,59650.0,-1.184739
47-2072,Pile Driver Operators,3760,48950.0,76260.0,96360.0,-1.220009
47-2073,Operating Engineers and Other Construction Equipment Operators,404820,38570.0,48360.0,62690.0,-0.8815078
47-2081,Drywall and Ceiling Tile Installers,97070,38000.0,48040.0,61980.0,-1.647971
47-2082,Tapers,14580,48040.0,61080.0,79080.0,-1.540774
47-2111,Electricians,650580,46900.0,60040.0,77350.0,-0.7796905
47-2121,Glaziers,52700,37630.0,47180.0,60150.0,-1.388901
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",30360,34200.0,39880.0,48850.0,-1.618772
47-2132,"Insulation Workers, Mechanical",28010,38540.0,48260.0,62010.0,-1.268615
47-2141,"Painters, Construction and Maintenance",214220,36920.0,45590.0,53310.0,-1.58799
47-2142,Paperhangers,2340,37670.0,47610.0,60420.0,-1.72753
47-2151,Pipelayers,33330,36910.0,45980.0,59240.0,-1.225611
47-2152,"Plumbers, Pipefitters, and Steamfitters",417620,46590.0,59880.0,77890.0,-1.121219
47-2161,Plasterers and Stucco Masons,26980,37860.0,48340.0,61170.0,-1.755588
47-2171,Reinforcing Iron and Rebar Workers,16420,45190.0,48830.0,73490.0,-1.970997
47-2181,Roofers,129890,37190.0,47110.0,59480.0,-1.752941
47-2211,Sheet Metal Workers,122630,39200.0,53440.0,74920.0,-1.174972
47-2221,Structural Iron and Steel Workers,68620,45670.0,58550.0,76920.0,-1.780065
47-2231,Solar Photovoltaic Installers,16420,37990.0,47670.0,59010.0,-0.9441692
